Percent,Indicator,Date
0.002794,covid,20200501
0.0015480000000000001,covid,20200502
0.002116,covid,20200503
0.001526,covid,20200504
0.001222,covid,20200505
0.0022170000000000002,covid,20200506
0.002124,covid,20200507
0.001082,covid,20200508
0.001265,covid,20200509
0.000648,covid,20200510
0.001791,covid,20200511
0.001744,covid,20200512
0.0008210000000000001,covid,20200513
0.001668,covid,20200514
0.001117,covid,20200515
0.000712,covid,20200516
0.001139,covid,20200517
0.000868,covid,20200518
0.0019219999999999999,covid,20200519
0.00215,covid,20200520
0.00086,covid,20200521
0.000553,covid,20200522
0.002577,covid,20200523
0.001611,covid,20200524
0.001312,covid,20200525
0.001269,covid,20200526
0.0008820000000000001,covid,20200527
0.001188,covid,20200528
0.001164,covid,20200529
0.0036030000000000003,covid,20200530
0.00715,covid,20200531
0.000947,covid,20200601
0.00224,covid,20200602
0.000925,covid,20200603
0.002823,covid,20200604
0.002241,covid,20200605
0.002546,covid,20200606
0.001916,covid,20200607
0.002246,covid,20200608
0.001023,covid,20200609
0.0013160000000000001,covid,20200610
0.0020570000000000002,covid,20200611
0.001684,covid,20200612
0.000925,covid,20200613
0.001955,covid,20200614
0.001287,covid,20200615
0.001495,covid,20200616
0.000802,covid,20200617
0.001556,covid,20200618
0.001552,covid,20200619
0.000306,covid,20200620
0.000531,covid,20200621
0.000866,covid,20200622
0.000684,covid,20200623
0.0017420000000000003,covid,20200624
0.001796,covid,20200625
0.0009130000000000001,covid,20200626
0.001486,covid,20200627
0.001265,covid,20200628
0.00063,covid,20200629
0.0033399999999999997,covid,20200630
0.001106,covid,20200701
0.001936,covid,20200702
0.000723,covid,20200703
0.000686,covid,20200704
0.0010609999999999999,covid,20200705
0.0,covid,20200706
0.000919,covid,20200707
0.000936,covid,20200708
0.000959,covid,20200709
0.001831,covid,20200710
0.001007,covid,20200711
0.0015890000000000001,covid,20200712
0.001584,covid,20200713
0.000867,covid,20200714
0.0010890000000000001,covid,20200715
0.002591,covid,20200716
0.000308,covid,20200717
0.0015539999999999998,covid,20200718
0.00145,covid,20200719
0.001179,covid,20200720
0.001761,covid,20200721
0.000868,covid,20200722
0.001135,covid,20200723
0.0010710000000000001,covid,20200724
0.001463,covid,20200725
0.000433,covid,20200726
0.00186,covid,20200727
0.001274,covid,20200728
0.001004,covid,20200729
0.000932,covid,20200730
0.001456,covid,20200731
0.0033130000000000004,covid,20200801
0.0012699999999999999,covid,20200802
0.000942,covid,20200803
0.0008939999999999999,covid,20200804
0.000679,covid,20200805
0.001773,covid,20200806
0.001912,covid,20200807
0.001565,covid,20200808
0.004973,covid,20200809
0.001628,covid,20200810
0.001047,covid,20200811
0.0015300000000000001,covid,20200812
0.0011970000000000001,covid,20200813
0.000813,covid,20200814
0.002597,covid,20200815
0.002241,covid,20200816
0.001996,covid,20200817
0.001114,covid,20200818
0.0009050000000000001,covid,20200819
0.002325,covid,20200820
0.0038689999999999996,covid,20200821
0.002254,covid,20200822
0.004815,covid,20200823
0.0012720000000000001,covid,20200824
0.0020829999999999998,covid,20200825
0.002617,covid,20200826
0.002736,covid,20200827
0.001714,covid,20200828
0.002229,covid,20200829
0.0033060000000000003,covid,20200830
0.001923,covid,20200831
0.0035210000000000003,covid,20200901
0.001831,covid,20200902
0.002579,covid,20200903
0.003285,covid,20200904
0.0008710000000000001,covid,20200905
0.002072,covid,20200906
0.0020280000000000003,covid,20200907
0.006023,covid,20200908
0.002132,covid,20200909
0.001483,covid,20200910
0.0036659999999999996,covid,20200911
0.002262,covid,20200912
0.001884,covid,20200913
0.001726,covid,20200914
0.001766,covid,20200915
0.003072,covid,20200916
0.0032359999999999997,covid,20200917
0.001786,covid,20200918
0.0029920000000000003,covid,20200919
0.0032359999999999997,covid,20200920
0.00262,covid,20200921
0.002235,covid,20200922
0.0034990000000000004,covid,20200923
0.0019010000000000001,covid,20200924
0.0022440000000000003,covid,20200925
0.0034909999999999997,covid,20200926
0.0006230000000000001,covid,20200927
0.0037909999999999997,covid,20200928
0.002462,covid,20200929
0.0019370000000000001,covid,20200930
0.0035210000000000003,covid,20200901
0.001831,covid,20200902
0.002579,covid,20200903
0.003285,covid,20200904
0.0008710000000000001,covid,20200905
0.002072,covid,20200906
0.0020280000000000003,covid,20200907
0.006023,covid,20200908
0.002132,covid,20200909
